rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
158,4829,"Kyatto Ninden Teyandee","NES/Famicom",7,1536,1536,1536,66,0,"2D Platforming","Tecmo","Koei | Tecmo","1991-07-19"
159,1772,"Kabuki: Quantum Fighter","NES/Famicom",7,1528,1528,1528,30,0,"2D Platforming","Human Entertainment","HAL Laboratory","1991-01-01"
160,1969,"Spider-Man: Return of the Sinister Six","NES/Famicom",7,1518,1518,1518,15,0,"Action","Bits Studios","LJN Entertainment","1992-10-01"
161,4756,"Mappy","NES/Famicom",7,1517,1517,1517,35,0,"","Namco","Namco","1984-11-14"
162,1777,"Kickle Cubicle","NES/Famicom",7,1512,1512,1512,23,0,"","Irem","Irem","1990-09-01"
163,2142,"Crisis Force","NES/Famicom",7,1507,1507,1507,31,0,"Shoot 'em Up","Konami","Konami","1991-08-01"
164,1861,"Nintendo World Cup","NES/Famicom",7,1498,1498,1498,31,0,"","","Nintendo","1990-12-01"
165,4542,"~Unlicensed~ Bubble Bath Babes","NES/Famicom",7,1488,1488,1488,15,0,"","C&E","Panesian","1991-01-01"
166,1604,"Captain America and the Avengers","NES/Famicom",7,1487,1487,1487,53,0,"Beat 'em Up","Data East","Data East","1991-12-01"
167,4658,"Moon Crystal","NES/Famicom",7,1473,1473,1473,32,0,"Action","Hect","Hect","1992-08-28"
168,1517,"A Nightmare on Elm Street","NES/Famicom",7,1462,1462,1462,33,0,"2D Platforming","Rare","LJN Entertainment","1990-10-01"
169,1623,"Clu Clu Land","NES/Famicom",7,1462,1462,1462,30,0,"Action","","Nintendo","1984-11-22"
170,5083,"~Unlicensed~ Micro Machines","NES/Famicom",7,1459,1459,1459,26,0,"Arcade Racing","Codemasters","Camerica","1991-01-01"
171,1929,"Rush 'n Attack","NES/Famicom",7,1459,1459,1459,25,0,"Action","Konami","Konami","1987-01-01"
172,1971,"Spy Hunter","NES/Famicom",7,1448,1448,1448,13,0,"Vehicular Combat","Sunsoft","Sunsoft","1987-09-01"
173,2444,"Yie Ar Kung-Fu","NES/Famicom",7,1427,1427,1427,22,0,"2D Fighting","Konami","Konami","1985-04-22"
174,4767,"F-1 Race","NES/Famicom",7,1418,1418,1418,43,0,"Racing","HAL Laboratory","Nintendo","1984-11-02"
175,1769,"Joust","NES/Famicom",7,1409,1409,1409,10,0,"2D Platforming, Arcade","HAL Laboratory","HAL Laboratory","1987-10-30"
176,1957,"Smash T.V.","NES/Famicom",7,1409,1409,1409,25,0,"Twin Stick Shooter","William, Ported by Beam Software","Acclaim","1991-09-01"
177,1991,"Super Dodge Ball","NES/Famicom",7,1405,1405,1405,22,0,"Sports - Dodgeball","Technōs Japan","Sony Imagesoft","1989-06-01"
178,1732,"Heavy Barrel","NES/Famicom",7,1403,1403,1403,31,0,"Run and Gun Shooter","Sakata SAS","Data East","1990-03-01"
179,3614,"Galaxian","NES/Famicom",7,1388,1388,1388,21,0,"Shoot 'em Up","Namco","Namco","1984-09-07"
180,2099,"Yo! Noid","NES/Famicom",7,1388,1388,1388,19,0,"2D Platforming","Now Production","Capcom","1990-11-01"
181,4804,"TwinBee","NES/Famicom",7,1382,1382,1382,23,0,"Shoot 'em Up","Konami","Konami","1986-01-04"
182,1717,"Golf","NES/Famicom",7,1381,1381,1381,17,0,"Sports - Golf","HAL Laboratory","Nintendo","1984-05-01"
183,1737,"Home Alone","NES/Famicom",7,1380,1380,1380,11,0,"Action","Bethesda Softworks","THQ","1991-01-01"
