rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
113,9443,"Digimon World Dawn","Nintendo DS",18,332,332,332,74,0,"","BEC","Bandai Namco","2007-03-29"
114,2141,"Brain Age: Train Your Brain in Minutes a Day!","Nintendo DS",18,331,331,331,66,0,"Educational, Sudoku","Nintendo","Nintendo","2005-05-19"
115,9994,"Final Fantasy IV","Nintendo DS",18,325,325,325,110,0,"","Matrix Software","Square Enix","2007-12-20"
116,7601,"Professor Layton and the Last Specter","Nintendo DS",18,325,325,325,40,0,"Mystery, Logic Puzzle","Level-5","Nintendo","2009-11-26"
117,9119,"The Legendary Starfy","Nintendo DS",18,317,317,317,58,0,"2D Platforming","TOSE","Nintendo","2008-07-10"
118,15740,"Donkey Kong: Jungle Climber","Nintendo DS",18,316,316,316,71,0,"2D Platforming","Paon","Nintendo","2007-09-10"
119,20052,"Kikansha Thomas: DS de Hajimeru Chiiku Gakushuu","Nintendo DS",18,311,311,311,21,0,"Minigames","Rocket Company","Rocket Company","2008-07-24"
120,14906,"Adventures of Pinocchio","Nintendo DS",18,310,310,310,18,0,"Jigsaw Puzzle, Sliding Puzzle","Phoenix Games","Phoenix Games","2008-01-01"
121,17554,"~Hack~ Castlevania: Dawn of Dissonance - A Juste Story Mode Hack","Nintendo DS",18,309,309,309,72,0,"Metroidvania","Serbagz","Hack - Castlevania: Dawn of Sorrow","2021-04-04"
122,1284,"Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009","Nintendo DS",18,309,309,309,163,0,"Collectible Card Game","Konami","Konami","2009-03-26"
123,22037,"Peppa Pig: The Game","Nintendo DS",18,308,308,308,11,0,"","Asylum Entertainment","Pinnacle Software","2009-08-07"
124,9751,"Super Robot Taisen OG Saga: Endless Frontier","Nintendo DS",18,298,298,298,62,0,"Role-Playing Game","Monolith Soft","Atlus","2009-04-29"
125,9931,"Ragnarok DS","Nintendo DS",18,294,294,294,43,0,"Action RPG","GungHo Online Entertainment","GungHo Online Entertainment, XSEED Games","2008-12-18"
126,9817,"Mystery Dungeon: Shiren the Wanderer","Nintendo DS",18,292,292,292,65,0,"Roguelike","Chunsoft","Sega","2006-12-14"
127,22036,"Peppa Pig: Fun and Games","Nintendo DS",18,290,290,290,13,0,"Minigames","Asylum Entertainment","P2 Games","2010-03-26"
128,8376,"Mega Man Zero Collection","Nintendo DS",18,289,289,289,279,0,"Action, 2D Platforming, Compilation","Inti Creates","Capcom","2010-06-08"
129,17434,"Nintendogs: Labrador & Friends","Nintendo DS",18,288,288,288,54,0,"Pet Simulation","","Nintendo","2005-10-07"
130,15915,"Lost in Blue","Nintendo DS",18,284,284,284,65,0,"Survival","Konami","Konami","2005-08-25"
131,16296,"Pokémon Ranger: Shadows of Almia","Nintendo DS",18,284,284,284,125,0,"Action RPG","APE | Creatures","Nintendo, The Pokémon Company","2008-03-20"
132,17513,"Taiko no Tatsujin DS: Touch de Dokodon!","Nintendo DS",18,283,283,283,182,0,"Rhythm","Namco","Bandai Namco","2007-07-26"
133,16633,"Final Fantasy Fables: Chocobo Tales","Nintendo DS",18,275,275,275,155,0,"Minigames, Collectible Card Game","h.a.n.d.","Square Enix","2007-04-03"
134,18541,"~Hack~ Box Adventure","Nintendo DS",18,273,273,273,11,0,"3D Platforming","","Hack - Super Mario 64 DS","2021-07-12"
135,15736,"Yu-Gi-Oh! Nightmare Troubadour","Nintendo DS",18,269,269,269,48,0,"Collectible Card Game","Konami","Konami","2005-07-21"
136,9462,"Meteos","Nintendo DS",18,266,266,266,80,0,"","Q Entertainment","","2005-03-10"
137,23701,"~Hack~ Mega Man Star Force DX","Nintendo DS",18,251,251,251,79,0,"Action RPG","The Rockman EXE Zone","Hack - Mega Man Star Force","2021-05-29"
138,7370,"Viva Piñata: Pocket Paradise","Nintendo DS",18,249,249,249,87,0,"Life Simulation","Rare","THQ","2008-09-05"
139,14907,"Peter Pan's Playground","Nintendo DS",18,245,245,245,8,0,"Jigsaw Puzzle, Sliding Puzzle","Phoenix Games","Phoenix Games","2008-01-01"
140,16710,"Ketsui Death Label: Kizuna Jigoku Tachi","Nintendo DS",18,242,242,242,54,0,"Shoot 'em Up, Bullet Hell","CAVE Interactive","Arika","2008-10-23"
141,6032,"Hotel Dusk: Room 215","Nintendo DS",18,236,236,236,20,0,"Point-and-Click Adventure","Cing","Nintendo","2007-01-22"
142,16383,"Super Scribblenauts","Nintendo DS",18,235,235,235,26,0,"Puzzle, Action","5th Cell","Warner Bros. Interactive Entertainment","2010-10-12"
143,33170,"~Prototype~ Crash Landed","Nintendo DS",18,230,230,230,6,0,"","","","2009-07-31"
144,22844,"Arkanoid DS","Nintendo DS",18,229,229,229,133,0,"Brick Breakers","Taito","Taito, Square Enix","2008-07-17"
145,5656,"Batman: The Brave and The Bold - The Videogame","Nintendo DS",18,229,229,229,69,0,"Beat 'em Up","WayForward","Warner Bros. Interactive Entertainment","2010-09-07"
146,22038,"Peppa Pig: Theme Park Fun","Nintendo DS",18,229,229,229,26,0,"","Strawdog Studios","P2 Games","2011-03-25"
147,1409,"Spider-Man: Shattered Dimensions","Nintendo DS",18,228,228,228,45,0,"Beat 'em Up, Metroidvania","Griptonite Games","Activision","2010-09-07"
148,7062,"Giana Sisters DS","Nintendo DS",18,226,226,226,56,0,"2D Platforming","Bitfield","DTP Entertainment","2009-04-03"
149,19773,"Hidden Objects: Mystery Stories","Nintendo DS",18,224,224,224,43,0,"Hidden Object, Mystery","cerasus.media","GSP Software, Knowledge Adventure","2009-05-29"
150,15653,"Phantasy Star 0","Nintendo DS",18,224,224,224,131,0,"Action RPG","Sonic Team","Sega","2008-12-25"
151,25351,"~Homebrew~ The Search Master: Metal Gear Solid Edition","Nintendo DS",18,223,223,223,6,0,"Puzzle","Multiple:Option","Multiple:Option","2008-12-24"
