rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
151,4723,"Medabots: Metabee Version","Game Boy Advance",5,797,797,797,36,0,"Role-Playing Game","Natsume","Natsume","2003-03-31"
152,7095,"Shining Soul II","Game Boy Advance",5,791,791,791,52,0,"Action RPG","Grasshopper Manufacture, Nex Entertainment","Atlus","2004-04-20"
153,7202,"The Lord of the Rings: The Two Towers","Game Boy Advance",5,781,781,781,44,0,"Action RPG","Griptonite Games","Electronic Arts","2002-11-08"
154,535,"Super Puzzle Fighter II Turbo","Game Boy Advance",5,778,778,778,25,0,"","Capcom","Capcom","2003-03-31"
155,4204,"Spyro: Attack of the Rhynocs","Game Boy Advance",5,775,775,775,64,0,"2.5D Platforming, Collect-a-thon, Metroidvania","Digital Eclipse","Universal Interactive","2003-10-28"
156,8677,"Classic NES Series: Donkey Kong","Game Boy Advance",5,774,774,774,20,0,"2D Platforming, Arcade","Nintendo","Nintendo","2004-02-14"
157,8915,"Dora the Explorer: Dora's World Adventure","Game Boy Advance",5,764,764,764,19,0,"Adventure, Educational","Black Lantern Studios","Global Star Software","2006-10-02"
158,5910,"The Incredibles","Game Boy Advance",5,762,762,762,21,0,"Beat 'em Up","Helixe","THQ","2004-09-28"
159,12963,"3 Game Pack!: The Game of Life + Payday + Yahtzee","Game Boy Advance",5,755,755,755,25,0,"Board Game","Black Lantern Studios","Destination Software","2005-11-07"
160,773,"Mega Man Battle Network 2","Game Boy Advance",5,751,751,751,80,0,"Action RPG","Capcom","Capcom","2002-06-17"
161,3701,"Duke Nukem Advance","Game Boy Advance",5,747,747,747,62,0,"First-Person Shooter","Torus Games","Take-Two Interactive","2002-08-12"
162,5116,"Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005","Game Boy Advance",5,740,740,740,40,0,"Collectible Card Game","Konami","Konami","2004-12-30"
163,1420,"Super Ghouls 'n Ghosts","Game Boy Advance",5,737,737,737,60,0,"","Capcom","Capcom","2002-09-23"
164,9226,"Wolfenstein 3D","Game Boy Advance",5,721,721,721,28,0,"First-Person Shooter","id Software","BAM! Entertainment","2002-04-02"
165,4197,"Harry Potter and the Chamber of Secrets","Game Boy Advance",5,709,709,709,30,0,"Action, Adventure","Eurocom","Electronic Arts","2002-11-14"
166,6209,"Guilty Gear X Advance Edition","Game Boy Advance",5,703,703,703,54,0,"2D Fighting","Arc System Works","Sammy","2002-08-29"
167,5764,"~Hack~ Castlevania: Aria of Sorrow Alter","Game Boy Advance",5,699,699,699,64,0,"Metroidvania","Kseptuple","","2019-03-31"
168,6407,"Nicktoons: Battle for Volcano Island","Game Boy Advance",5,675,675,675,16,0,"2D Platforming","Halfbrick Studios","THQ","2006-01-01"
